 Day        Month      Year       Tmin(C)    Tmax(C)    Pcrp(mm)   ET0(mm)  
 1         1          2021       -1.1       18.7        0.00       1.8      
 2         1          2021       -1.9       17.9        0.00       1.7      
 3         1          2021       -1.6       18.7        0.00       1.5      
 4         1          2021       -1.1       21.1        0.00       1.9      
 5         1          2021        1.0       21.4        0.00       2.2      
 6         1          2021       -0.5       20.7        0.00       1.7      
 7         1          2021        0.0       21.2        0.00       1.7      
 8         1          2021       -0.1       20.4        0.00       2.0      
 9         1          2021        0.1       19.5        0.00       2.6      
10         1          2021       -1.1       18.9        0.00       1.9      
11         1          2021        2.0       18.9        0.00       2.7      
12         1          2021       -0.5       19.3        0.00       2.0      
13         1          2021       -2.5       19.8        0.00       2.2      
14         1          2021        0.4       22.1        0.00       2.2      
15         1          2021        1.4       24.8        0.00       3.1      
16         1          2021        2.1       25.0        0.00       2.4      
17         1          2021        1.2       26.2        0.00       2.6      
18         1          2021       -0.7       21.7        0.00       2.2      
19         1          2021       10.7       22.4        0.25       4.1      
20         1          2021       11.5       23.7        0.00       4.6      
21         1          2021       11.6       21.8        0.25       2.5      
22         1          2021       10.4       20.7        0.00       2.4      
23         1          2021       10.2       18.3        0.00       2.4      
24         1          2021        6.4       13.5        2.29       1.6      
25         1          2021        4.2       13.0        3.81       1.6      
26         1          2021        2.1       12.6        0.00       1.8      
27         1          2021       -1.3       17.0        0.00       2.3      
28         1          2021        4.8       22.3        0.00       3.0      
29         1          2021        7.4       20.4        2.79       2.8      
30         1          2021        1.4       16.7        0.25       1.5      
31         1          2021        1.6       21.9        0.00       2.3      
 1         2          2021        7.4       22.4        0.00       2.8      
 2         2          2021       10.8       28.0        0.00       2.4      
 3         2          2021       14.6       27.8        0.00       3.6      
 4         2          2021        9.2       22.9        0.00       4.2      
 5         2          2021        3.3       20.5        0.00       3.0      
 6         2          2021        0.8       22.7        0.00       2.5      
 7         2          2021        2.0       23.2        0.00       2.7      
 8         2          2021        2.3       24.5        0.00       2.7      
 9         2          2021        3.2       24.0        0.00       2.6      
10         2          2021        8.5       24.1        0.00       2.9      
11         2          2021        4.6       25.5        0.00       2.9      
12         2          2021       10.8       23.4        0.00       4.9      
13         2          2021        7.1       21.9        0.00       4.0      
14         2          2021        6.3       18.7        0.00       3.7      
15         2          2021        1.4       19.5        0.00       3.2      
16         2          2021        6.3       21.2        0.00       4.5      
17         2          2021        3.1       19.2        0.00       4.5      
18         2          2021        1.2       17.9        0.00       3.7      
19         2          2021       -0.6       21.7        0.00       3.0      
20         2          2021        2.4       27.4        0.00       5.7      
21         2          2021        5.2       21.0        0.00       3.7      
22         2          2021        0.2       24.8        0.00       3.6      
23         2          2021        2.9       26.9        0.00       3.7      
24         2          2021        3.8       27.0        0.00       4.0      
25         2          2021        5.9       19.3        0.00       4.6      
26         2          2021        0.1       22.2        0.00       3.6      
27         2          2021        0.2       22.5        0.00       4.3      
28         2          2021        3.7       17.6        0.00       5.4      
 1         3          2021       -1.1       21.2        0.00       3.6      
 2         3          2021        2.9       26.0        0.00       5.4      
 3         3          2021        3.6       29.3        0.00       6.9      
 4         3          2021        7.7       21.7        0.00       3.5      
 5         3          2021        3.5       27.5        0.00       3.9      
 6         3          2021        6.8       30.4        0.00       5.9      
 7         3          2021        5.8       31.5        0.00       4.0      
 8         3          2021       14.5       29.5        0.00       5.5      
 9         3          2021       14.3       26.4        0.00       6.3      
10         3          2021        6.5       20.4        0.00       4.4      
11         3          2021        4.1       20.7        0.00       3.7      
12         3          2021        7.6       15.4        2.03       2.6      
13         3          2021        6.3       16.7        1.52       3.0      
14         3          2021        2.3       21.1        0.00       3.6      
15         3          2021        5.3       24.0        0.00       4.4      
16         3          2021        5.1       16.3        0.00       4.1      
17         3          2021        1.7       22.2        0.00       3.5      
18         3          2021        4.3       27.9        0.00       4.0      
19         3          2021        5.4       29.8        0.00       4.4      
20         3          2021       12.1       29.7        0.00       6.3      
21         3          2021       10.6       25.7        0.00       6.3      
22         3          2021        9.2       21.7        0.00       5.9      
23         3          2021        8.7       21.4        0.00       5.3      
24         3          2021        5.8       22.0        0.00       4.4      
25         3          2021        8.4       22.5        0.00       6.4      
26         3          2021        8.3       19.8        0.00       3.8      
27         3          2021        4.9       25.1        0.00       4.7      
28         3          2021        5.4       30.2        0.00       5.4      
29         3          2021        6.9       30.8        0.00       5.1      
30         3          2021       11.6       30.0        0.00       6.5      
31         3          2021        5.9       31.0        0.00       6.0      
 1         4          2021       11.9       34.0        0.00       8.9      
 2         4          2021       13.4       33.1        0.00       5.8      
 3         4          2021       14.3       35.8        0.00       5.9      
 4         4          2021       13.4       36.7        0.00       6.2      
 5         4          2021       14.9       35.0        0.00       7.7      
 6         4          2021       17.3       32.3        0.00       7.9      
 7         4          2021        9.8       32.7        0.00       6.3      
 8         4          2021       15.9       33.0        0.00       7.8      
 9         4          2021       16.0       33.9        0.00       6.6      
10         4          2021       12.0       34.9        0.00       7.1      
11         4          2021       13.8       34.4        0.00       6.4      
12         4          2021       15.0       33.3        0.00       6.2      
13         4          2021       15.6       32.6        0.00       8.0      
14         4          2021       14.7       31.3        0.00       7.3      
15         4          2021       12.2       27.3        0.00       6.3      
16         4          2021        9.6       28.0        0.00       4.3      
17         4          2021        9.2       29.9        0.00       6.6      
18         4          2021       11.9       28.8        0.00       6.4      
19         4          2021       10.8       30.5        0.00       5.7      
20         4          2021       13.3       33.8        0.00       7.5      
21         4          2021       15.2       33.1        0.00      10.8      
22         4          2021       14.5       28.1        0.00       7.0      
23         4          2021       13.0       29.7        0.00       6.7      
24         4          2021       11.8       33.4        0.00       7.2      
25         4          2021       15.9       34.7        0.00       8.6      
26         4          2021       15.9       25.9        0.00       6.6      
27         4          2021       14.3       24.0        0.00       5.9      
28         4          2021        8.6       27.3        0.00       5.5      
29         4          2021       10.4       33.4        0.00       6.1      
30         4          2021       13.2       35.9        0.00       7.0      
 1         5          2021       16.5       38.0        0.00       7.6      
 2         5          2021       16.9       34.0        0.00       9.1      
 3         5          2021       16.2       31.9        0.00       7.8      
 4         5          2021       16.4       34.5        0.00       7.0      
 5         5          2021       15.1       36.6        0.00       6.5      
 6         5          2021       17.6       38.1        0.00       8.5      
 7         5          2021       17.3       35.7        0.00       7.4      
 8         5          2021       15.6       34.2        0.00       7.7      
 9         5          2021       17.9       34.9        0.00       8.3      
10         5          2021       17.0       36.0        0.00       8.4      
11         5          2021       13.1       35.6        0.00       7.3      
12         5          2021       16.4       37.3        0.00       7.6      
13         5          2021       15.6       38.6        0.00       7.9      
14         5          2021       19.8       38.2        0.00       9.2      
15         5          2021       19.1       37.1        0.00      10.5      
16         5          2021       16.0       34.2        0.00       8.9      
17         5          2021       15.1       31.4        0.00       7.2      
18         5          2021       17.9       34.5        0.00       8.3      
19         5          2021       18.9       38.3        0.00       9.4      
20         5          2021       19.5       37.1        0.00       9.6      
21         5          2021       17.0       30.2        0.00       8.7      
22         5          2021       11.4       28.0        0.00       7.8      
23         5          2021        9.0       30.8        0.00       6.1      
24         5          2021       10.9       34.4        0.00       6.9      
25         5          2021       16.1       36.7        0.00       7.6      
26         5          2021       18.5       36.3        0.00       7.1      
27         5          2021       15.4       36.6        0.00       7.2      
28         5          2021       17.4       38.2        0.00       8.2      
29         5          2021       17.9       38.6        0.00       9.7      
30         5          2021       15.6       38.0        0.00       8.1      
31         5          2021       20.2       38.3        0.00       8.0      
 1         6          2021       19.8       39.5        0.00       8.6      
 2         6          2021       22.0       39.8        0.00       9.4      
 3         6          2021       21.5       40.7        0.00       9.8      
 4         6          2021       20.1       40.7        0.00       9.1      
 5         6          2021       22.5       41.2        0.00      10.7      
 6         6          2021       19.6       39.8        0.00       9.4      
 7         6          2021       16.0       39.0        0.00       9.7      
 8         6          2021       17.6       37.2        0.00       8.0      
 9         6          2021       19.5       39.1        0.00       8.1      
10         6          2021       19.5       37.7        0.00       8.5      
11         6          2021       17.9       40.0        0.00       8.2      
12         6          2021       18.6       43.1        0.00       7.8      
13         6          2021       19.5       44.9        0.00       9.3      
14         6          2021       22.2       45.4        0.00       9.2      
15         6          2021       26.5       45.5        0.00       8.6      
16         6          2021       28.1       44.8        0.00       9.6      
17         6          2021       28.4       47.0        0.00      10.4      
18         6          2021       30.1       46.7        0.00      10.4      
19         6          2021       28.2       45.2        0.00      10.5      
20         6          2021       28.2       44.0        0.00      11.9      
21         6          2021       27.3       41.8        0.00      10.3      
22         6          2021       26.8       39.7        0.00       8.7      
23         6          2021       24.7       33.1        0.00       5.5      
24         6          2021       21.7       39.1        0.00       7.3      
25         6          2021       25.5       41.3        0.00       8.3      
26         6          2021       24.3       42.1        0.00       8.4      
27         6          2021       23.8       44.6        0.00       8.8      
28         6          2021       28.1       42.2        0.00      12.6      
29         6          2021       27.7       39.8        0.00       9.5      
30         6          2021       24.7       40.7        0.00       8.8      
 1         7          2021       25.6       41.0        0.00       7.5      
 2         7          2021       28.9       40.6        0.00       7.4      
 3         7          2021       25.5       41.0        0.00       7.8      
 4         7          2021       24.6       38.0        0.25       6.8      
 5         7          2021       28.6       41.2        0.00       8.6      
 6         7          2021       28.4       42.7        0.00      10.1      
 7         7          2021       28.0       43.5        0.00       9.1      
 8         7          2021       30.0       43.4        0.00       8.7      
 9         7          2021       26.6       43.7       16.26      10.4      
10         7          2021       23.3       43.1        7.62       9.4      
11         7          2021       24.3       41.8        0.00       8.0      
12         7          2021       28.9       40.6        0.00       8.4      
13         7          2021       26.8       41.7        0.00       8.2      
14         7          2021       24.7       35.2        2.79       6.0      
15         7          2021       25.0       37.7       23.88       7.4      
16         7          2021       26.9       37.3        1.52       6.7      
17         7          2021       25.1       39.0        0.00       6.3      
18         7          2021       27.6       37.1        0.00       6.0      
19         7          2021       27.6       38.6        0.00       6.3      
20         7          2021       30.8       36.1        0.00       8.2      
